policy,avg_ppl,ppl_wikitext,ppl_pg19,kept_fraction_ppl,tpot_s,ttft_s,throughput_tok_s,kept_fraction_prompt,flops_ratio_vs_dense,avg_ppl_rank,tpot_s_rank,flops_ratio_vs_dense_rank,balanced_rank,pareto_frontier
expected,26.325533500000002,17.790787,34.86028,0.257812,0.007749,0.007481,129.182,0.257812,0.280984,1.0,3.0,1.0,1.6666666666666667,True
expected_soft_pyramid,28.3422895,22.449819,34.23476,0.257812,0.006973,0.007872,142.837,0.257812,0.280984,2.0,2.0,1.0,1.6666666666666667,True
residual_soft_pyramid,36.795634500000006,40.182892,33.408377,0.257812,0.006379,0.006154,156.933,0.257812,0.280984,4.0,1.0,1.0,2.0,True
expected_observed_residual,35.955724000000004,37.981906,33.929542,0.257812,0.010715,0.018623,91.222,0.257812,0.280984,3.0,5.0,1.0,3.0,False
hybrid_expected_observed,37.8698185,42.667344,33.072293,0.257812,0.008971,0.00549,112.843,0.257812,0.280984,5.0,4.0,1.0,3.3333333333333335,False
