policy,avg_ppl,ppl_wikitext,ppl_pg19,kept_fraction_ppl,tpot_s,ttft_s,throughput_tok_s,kept_fraction_prompt,flops_ratio_vs_dense,avg_ppl_rank,tpot_s_rank,flops_ratio_vs_dense_rank,balanced_rank,pareto_frontier,selected
hybrid_expected_observed,26.329371,20.050641,32.608101,0.5,0.006105,0.006144,163.763,0.5,0.51561,3.0,1.0,1.0,1.6666666666666667,True,True
expected_soft_pyramid,21.8080845,10.985649,32.63052,0.5,0.007452,0.008193,133.784,0.5,0.51561,1.0,6.0,1.0,2.6666666666666665,True,False
hybrid_soft_pyramid,26.9735835,21.188587,32.75858,0.5,0.006167,0.00584,162.435,0.5,0.51561,4.0,2.0,1.0,2.3333333333333335,False,False
observed,30.9216035,29.794882,32.048325,0.5,0.006307,0.006321,158.535,0.5,0.51561,5.0,3.0,1.0,3.0,False,False
expected,21.967495,11.08086,32.85413,0.5,0.007706,0.008941,129.121,0.5,0.51561,2.0,7.0,1.0,3.3333333333333335,False,False
tova,34.5371185,36.320274,32.753963,0.5,0.007426,0.006045,135.447,0.5,0.51561,7.0,5.0,1.0,4.333333333333333,False,False
streaming,45.175357500000004,57.028267,33.322448,0.5,0.006501,0.007843,152.842,0.5,0.51561,8.0,4.0,1.0,4.333333333333333,False,False
snapkv,32.856058000000004,33.121884,32.590232,0.5,0.008943,0.007867,112.237,0.5,0.51561,6.0,8.0,1.0,5.0,False,False
