dataset,source,policy,implementation,model,context_len,continuation_len,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,nll,ppl,prefill_s,decode_s,tokens_per_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,kv_cache_mb_final,peak_cuda_mb,decode_attention_flops
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.0,4,32,4,20,0.99,2.277228,9.74962,0.354318,0.874954,146.293,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,4.030309,56.278326,0.054699,0.816945,156.681,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,383.412,403439616
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.743604,42.249977,0.039814,0.795524,160.9,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,432.412,403439616
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.564455,35.320203,0.018915,0.900614,142.125,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,432.424,404226048
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,2.378733,10.791226,0.053703,0.761974,167.985,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,383.412,403439616
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,2.47637,11.897993,0.022905,0.67896,188.524,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,383.424,404226048
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,2.47637,11.897993,0.042121,0.676629,189.173,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,432.424,404226048
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.0,4,32,4,20,0.99,3.494614,32.937559,0.01453,0.749584,170.761,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
pg19,emozilla/pg19/default:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.480737,32.483642,0.017483,0.766385,167.018,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,383.412,403439616
pg19,emozilla/pg19/default:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.489471,32.768596,0.0205,0.770469,166.133,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,432.412,403439616
pg19,emozilla/pg19/default:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.46855,32.090189,0.020529,0.754655,169.614,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,432.424,404226048
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.527031,34.022788,0.024221,0.755733,169.372,192.0,192 192 192 192 192 192,320.0,320 320 320 320 320 320,0.375,4.5,7.5,383.412,403439616
pg19,emozilla/pg19/default:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.493498,32.900826,0.025312,0.767945,166.679,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,383.424,404226048
pg19,emozilla/pg19/default:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,192,0.624023,4,32,4,20,0.99,3.493498,32.900826,0.026907,0.751684,170.284,192.5,375 302 229 156 83 10,320.5,503 430 357 284 211 138,0.375977,4.512,7.512,432.424,404226048
